sentence,label
"/* TEMPLATE GENERATED TESTCASE FILE
Filename: CWE566_Authorization_Bypass_Through_SQL_Primary__Servlet_81_bad.java
Label Definition File: CWE566_Authorization_Bypass_Through_SQL_Primary__Servlet.label.xml
Template File: sources-sink-81_bad.tmpl.java
*/
/*
 * @description
 * CWE: 566 Authorization Bypass through SQL primary
 * BadSource:  user id taken from url parameter
 * GoodSource: hardcoded user id
 * Sinks: writeConsole
 *    BadSink : user authorization not checked
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
package testcases.CWE566_Authorization_Bypass_Through_SQL_Primary;

public class CWE566_Authorization_Bypass_Through_SQL_Primary__Servlet_81_bad extends CWE566_Authorization_Bypass_Through_SQL_Primary__Servlet_81_base {

    public void action(String data, HttpServletRequest request, HttpServletResponse response) throws Throwable {
        Connection dBConnection = IO.getDBConnection();
        PreparedStatement preparedStatement = null;
        ResultSet resultSet = null;
        int id = 0;
        try {
            id = Integer.parseInt(data);
        } catch (NumberFormatException nfx) {
            id = -1;
            /* Assuming this id does not exist */
        }
        try {
            preparedStatement = dBConnection.prepareStatement(""select * from invoices where uid=?"");
            preparedStatement.setInt(1, id);
            resultSet = preparedStatement.executeQuery();
            /* POTENTIAL FLAW: no check to see whether the user has privileges to view the data */
            IO.writeString(""bad() - result requested: "" + data + ""\n"");
        } catch (SQLException exceptSql) {
            IO.logger.log(Level.WARNING, ""Error executing query"", exceptSql);
        } finally {
            try {
                if (resultSet != null) {
                    resultSet.close();
                }
            } catch (SQLException exceptSql) {
                IO.logger.log(Level.WARNING, ""Could not close ResultSet"", exceptSql);
            }
            try {
                if (preparedStatement != null) {
                    preparedStatement.close();
                }
            } catch (SQLException exceptSql) {
                IO.logger.log(Level.WARNING, ""Could not close PreparedStatement"", exceptSql);
            }
            try {
                if (dBConnection != null) {
                    dBConnection.close();
                }
            } catch (SQLException exceptSql) {
                IO.logger.log(Level.WARNING, ""Could not close Connection"", exceptSql);
            }
        }
    }
}
",CWE
"/* TEMPLATE GENERATED TESTCASE FILE
Filename: CWE643_Xpath_Injection__Property_81_bad.java
Label Definition File: CWE643_Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
/*
 * @description
 * CWE: 643 Xpath Injection
 * BadSource: Property Read data from a system property
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
package testcases.CWE643_Xpath_Injection;

public class CWE643_Xpath_Injection__Property_81_bad extends CWE643_Xpath_Injection__Property_81_base {

    public void action(String data) throws Throwable {
        String xmlFile = null;
        if (System.getProperty(""os.name"").toLowerCase().indexOf(""win"") >= 0) {
            /* running on Windows */
            xmlFile = ""\\src\\testcases\\CWE643_Xpath Injection\\CWE643_Xpath_Injection__Helper.xml"";
        } else {
            /* running on non-Windows */
            xmlFile = ""./src/testcases/CWE643_Xpath Injection/CWE643_Xpath_Injection__Helper.xml"";
        }
        if (data != null) {
            /* assume username||password as source */
            String[] tokens = data.split(""||"");
            if (tokens.length < 2) {
                return;
            }
            String username = tokens[0];
            String password = tokens[1];
            /* build xpath */
            XPath xPath = XPathFactory.newInstance().newXPath();
            InputSource inputXml = new InputSource(xmlFile);
            /* INCIDENTAL: CWE180 Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
            /* POTENTIAL FLAW: user input is used without validate */
            String query = ""//users/user[name/text()='"" + username + ""' and pass/text()='"" + password + ""']"" + ""/secret/text()"";
            String secret = (String) xPath.evaluate(query, inputXml, XPathConstants.STRING);
        }
    }
}
",CWE
"/* TEMPLATE GENERATED TESTCASE FILE
Filename: CWE643_Xpath_Injection__database_81_bad.java
Label Definition File: CWE643_Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
/*
 * @description
 * CWE: 643 Xpath Injection
 * BadSource: database Read data from a database
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
package testcases.CWE643_Xpath_Injection;

public class CWE643_Xpath_Injection__database_81_bad extends CWE643_Xpath_Injection__database_81_base {

    public void action(String data) throws Throwable {
        String xmlFile = null;
        if (System.getProperty(""os.name"").toLowerCase().indexOf(""win"") >= 0) {
            /* running on Windows */
            xmlFile = ""\\src\\testcases\\CWE643_Xpath Injection\\CWE643_Xpath_Injection__Helper.xml"";
        } else {
            /* running on non-Windows */
            xmlFile = ""./src/testcases/CWE643_Xpath Injection/CWE643_Xpath_Injection__Helper.xml"";
        }
        if (data != null) {
            /* assume username||password as source */
            String[] tokens = data.split(""||"");
            if (tokens.length < 2) {
                return;
            }
            String username = tokens[0];
            String password = tokens[1];
            /* build xpath */
            XPath xPath = XPathFactory.newInstance().newXPath();
            InputSource inputXml = new InputSource(xmlFile);
            /* INCIDENTAL: CWE180 Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
            /* POTENTIAL FLAW: user input is used without validate */
            String query = ""//users/user[name/text()='"" + username + ""' and pass/text()='"" + password + ""']"" + ""/secret/text()"";
            String secret = (String) xPath.evaluate(query, inputXml, XPathConstants.STRING);
        }
    }
}
",CWE
"/* TEMPLATE GENERATED TESTCASE FILE
Filename: CWE643_Xpath_Injection__getQueryString_Servlet_81_bad.java
Label Definition File: CWE643_Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
/*
 * @description
 * CWE: 643 Xpath Injection
 * BadSource: getQueryString_Servlet Parse id param out of the URL query string (without using getParameter())
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
package testcases.CWE643_Xpath_Injection;

public class CWE643_Xpath_Injection__getQueryString_Servlet_81_bad extends CWE643_Xpath_Injection__getQueryString_Servlet_81_base {

    public void action(String data, HttpServletRequest request, HttpServletResponse response) throws Throwable {
        String xmlFile = null;
        if (System.getProperty(""os.name"").toLowerCase().indexOf(""win"") >= 0) {
            /* running on Windows */
            xmlFile = ""\\src\\testcases\\CWE643_Xpath Injection\\CWE643_Xpath_Injection__Helper.xml"";
        } else {
            /* running on non-Windows */
            xmlFile = ""./src/testcases/CWE643_Xpath Injection/CWE643_Xpath_Injection__Helper.xml"";
        }
        if (data != null) {
            /* assume username||password as source */
            String[] tokens = data.split(""||"");
            if (tokens.length < 2) {
                return;
            }
            String username = tokens[0];
            String password = tokens[1];
            /* build xpath */
            XPath xPath = XPathFactory.newInstance().newXPath();
            InputSource inputXml = new InputSource(xmlFile);
            /* INCIDENTAL: CWE180 Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
            /* POTENTIAL FLAW: user input is used without validate */
            String query = ""//users/user[name/text()='"" + username + ""' and pass/text()='"" + password + ""']"" + ""/secret/text()"";
            String secret = (String) xPath.evaluate(query, inputXml, XPathConstants.STRING);
        }
    }
}
",CWE
"/* TEMPLATE GENERATED TESTCASE FILE
Filename: CWE643_Xpath_Injection__Environment_81_bad.java
Label Definition File: CWE643_Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
/*
 * @description
 * CWE: 643 Xpath Injection
 * BadSource: Environment Read data from an environment variable
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
package testcases.CWE643_Xpath_Injection;

public class CWE643_Xpath_Injection__Environment_81_bad extends CWE643_Xpath_Injection__Environment_81_base {

    public void action(String data) throws Throwable {
        String xmlFile = null;
        if (System.getProperty(""os.name"").toLowerCase().indexOf(""win"") >= 0) {
            /* running on Windows */
            xmlFile = ""\\src\\testcases\\CWE643_Xpath Injection\\CWE643_Xpath_Injection__Helper.xml"";
        } else {
            /* running on non-Windows */
            xmlFile = ""./src/testcases/CWE643_Xpath Injection/CWE643_Xpath_Injection__Helper.xml"";
        }
        if (data != null) {
            /* assume username||password as source */
            String[] tokens = data.split(""||"");
            if (tokens.length < 2) {
                return;
            }
            String username = tokens[0];
            String password = tokens[1];
            /* build xpath */
            XPath xPath = XPathFactory.newInstance().newXPath();
            InputSource inputXml = new InputSource(xmlFile);
            /* INCIDENTAL: CWE180 Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
            /* POTENTIAL FLAW: user input is used without validate */
            String query = ""//users/user[name/text()='"" + username + ""' and pass/text()='"" + password + ""']"" + ""/secret/text()"";
            String secret = (String) xPath.evaluate(query, inputXml, XPathConstants.STRING);
        }
    }
}
",CWE
"/* TEMPLATE GENERATED TESTCASE FILE
Filename: CWE643_Xpath_Injection__PropertiesFile_81_bad.java
Label Definition File: CWE643_Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
/*
 * @description
 * CWE: 643 Xpath Injection
 * BadSource: PropertiesFile Read data from a .properties file (in property named data)
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
package testcases.CWE643_Xpath_Injection;

public class CWE643_Xpath_Injection__PropertiesFile_81_bad extends CWE643_Xpath_Injection__PropertiesFile_81_base {

    public void action(String data) throws Throwable {
        String xmlFile = null;
        if (System.getProperty(""os.name"").toLowerCase().indexOf(""win"") >= 0) {
            /* running on Windows */
            xmlFile = ""\\src\\testcases\\CWE643_Xpath Injection\\CWE643_Xpath_Injection__Helper.xml"";
        } else {
            /* running on non-Windows */
            xmlFile = ""./src/testcases/CWE643_Xpath Injection/CWE643_Xpath_Injection__Helper.xml"";
        }
        if (data != null) {
            /* assume username||password as source */
            String[] tokens = data.split(""||"");
            if (tokens.length < 2) {
                return;
            }
            String username = tokens[0];
            String password = tokens[1];
            /* build xpath */
            XPath xPath = XPathFactory.newInstance().newXPath();
            InputSource inputXml = new InputSource(xmlFile);
            /* INCIDENTAL: CWE180 Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
            /* POTENTIAL FLAW: user input is used without validate */
            String query = ""//users/user[name/text()='"" + username + ""' and pass/text()='"" + password + ""']"" + ""/secret/text()"";
            String secret = (String) xPath.evaluate(query, inputXml, XPathConstants.STRING);
        }
    }
}
",CWE
"/* TEMPLATE GENERATED TESTCASE FILE
Filename: CWE643_Xpath_Injection__connect_tcp_81_bad.java
Label Definition File: CWE643_Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
/*
 * @description
 * CWE: 643 Xpath Injection
 * BadSource: connect_tcp Read data using an outbound tcp connection
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
package testcases.CWE643_Xpath_Injection;

public class CWE643_Xpath_Injection__connect_tcp_81_bad extends CWE643_Xpath_Injection__connect_tcp_81_base {

    public void action(String data) throws Throwable {
        String xmlFile = null;
        if (System.getProperty(""os.name"").toLowerCase().indexOf(""win"") >= 0) {
            /* running on Windows */
            xmlFile = ""\\src\\testcases\\CWE643_Xpath Injection\\CWE643_Xpath_Injection__Helper.xml"";
        } else {
            /* running on non-Windows */
            xmlFile = ""./src/testcases/CWE643_Xpath Injection/CWE643_Xpath_Injection__Helper.xml"";
        }
        if (data != null) {
            /* assume username||password as source */
            String[] tokens = data.split(""||"");
            if (tokens.length < 2) {
                return;
            }
            String username = tokens[0];
            String password = tokens[1];
            /* build xpath */
            XPath xPath = XPathFactory.newInstance().newXPath();
            InputSource inputXml = new InputSource(xmlFile);
            /* INCIDENTAL: CWE180 Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
            /* POTENTIAL FLAW: user input is used without validate */
            String query = ""//users/user[name/text()='"" + username + ""' and pass/text()='"" + password + ""']"" + ""/secret/text()"";
            String secret = (String) xPath.evaluate(query, inputXml, XPathConstants.STRING);
        }
    }
}
",CWE
"/* TEMPLATE GENERATED TESTCASE FILE
Filename: CWE643_Xpath_Injection__console_readLine_81_bad.java
Label Definition File: CWE643_Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
/*
 * @description
 * CWE: 643 Xpath Injection
 * BadSource: console_readLine Read data from the console using readLine()
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
package testcases.CWE643_Xpath_Injection;

public class CWE643_Xpath_Injection__console_readLine_81_bad extends CWE643_Xpath_Injection__console_readLine_81_base {

    public void action(String data) throws Throwable {
        String xmlFile = null;
        if (System.getProperty(""os.name"").toLowerCase().indexOf(""win"") >= 0) {
            /* running on Windows */
            xmlFile = ""\\src\\testcases\\CWE643_Xpath Injection\\CWE643_Xpath_Injection__Helper.xml"";
        } else {
            /* running on non-Windows */
            xmlFile = ""./src/testcases/CWE643_Xpath Injection/CWE643_Xpath_Injection__Helper.xml"";
        }
        if (data != null) {
            /* assume username||password as source */
            String[] tokens = data.split(""||"");
            if (tokens.length < 2) {
                return;
            }
            String username = tokens[0];
            String password = tokens[1];
            /* build xpath */
            XPath xPath = XPathFactory.newInstance().newXPath();
            InputSource inputXml = new InputSource(xmlFile);
            /* INCIDENTAL: CWE180 Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
            /* POTENTIAL FLAW: user input is used without validate */
            String query = ""//users/user[name/text()='"" + username + ""' and pass/text()='"" + password + ""']"" + ""/secret/text()"";
            String secret = (String) xPath.evaluate(query, inputXml, XPathConstants.STRING);
        }
    }
}
",CWE
"/* TEMPLATE GENERATED TESTCASE FILE
Filename: CWE643_Xpath_Injection__listen_tcp_81_bad.java
Label Definition File: CWE643_Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
/*
 * @description
 * CWE: 643 Xpath Injection
 * BadSource: listen_tcp Read data using a listening tcp connection
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
package testcases.CWE643_Xpath_Injection;

public class CWE643_Xpath_Injection__listen_tcp_81_bad extends CWE643_Xpath_Injection__listen_tcp_81_base {

    public void action(String data) throws Throwable {
        String xmlFile = null;
        if (System.getProperty(""os.name"").toLowerCase().indexOf(""win"") >= 0) {
            /* running on Windows */
            xmlFile = ""\\src\\testcases\\CWE643_Xpath Injection\\CWE643_Xpath_Injection__Helper.xml"";
        } else {
            /* running on non-Windows */
            xmlFile = ""./src/testcases/CWE643_Xpath Injection/CWE643_Xpath_Injection__Helper.xml"";
        }
        if (data != null) {
            /* assume username||password as source */
            String[] tokens = data.split(""||"");
            if (tokens.length < 2) {
                return;
            }
            String username = tokens[0];
            String password = tokens[1];
            /* build xpath */
            XPath xPath = XPathFactory.newInstance().newXPath();
            InputSource inputXml = new InputSource(xmlFile);
            /* INCIDENTAL: CWE180 Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
            /* POTENTIAL FLAW: user input is used without validate */
            String query = ""//users/user[name/text()='"" + username + ""' and pass/text()='"" + password + ""']"" + ""/secret/text()"";
            String secret = (String) xPath.evaluate(query, inputXml, XPathConstants.STRING);
        }
    }
}
",CWE
"/* TEMPLATE GENERATED TESTCASE FILE
Filename: CWE643_Xpath_Injection__getCookies_Servlet_81_bad.java
Label Definition File: CWE643_Xpath_Injection.label.xml
Template File: sources-sinks-81_bad.tmpl.java
*/
/*
 * @description
 * CWE: 643 Xpath Injection
 * BadSource: getCookies_Servlet Read data from the first cookie using getCookies()
 * GoodSource: A hardcoded string
 * Sinks:
 *    GoodSink: validate input through StringEscapeUtils
 *    BadSink : user input is used without validate
 * Flow Variant: 81 Data flow: data passed in a parameter to an abstract method
 *
 * */
package testcases.CWE643_Xpath_Injection;

public class CWE643_Xpath_Injection__getCookies_Servlet_81_bad extends CWE643_Xpath_Injection__getCookies_Servlet_81_base {

    public void action(String data, HttpServletRequest request, HttpServletResponse response) throws Throwable {
        String xmlFile = null;
        if (System.getProperty(""os.name"").toLowerCase().indexOf(""win"") >= 0) {
            /* running on Windows */
            xmlFile = ""\\src\\testcases\\CWE643_Xpath Injection\\CWE643_Xpath_Injection__Helper.xml"";
        } else {
            /* running on non-Windows */
            xmlFile = ""./src/testcases/CWE643_Xpath Injection/CWE643_Xpath_Injection__Helper.xml"";
        }
        if (data != null) {
            /* assume username||password as source */
            String[] tokens = data.split(""||"");
            if (tokens.length < 2) {
                return;
            }
            String username = tokens[0];
            String password = tokens[1];
            /* build xpath */
            XPath xPath = XPathFactory.newInstance().newXPath();
            InputSource inputXml = new InputSource(xmlFile);
            /* INCIDENTAL: CWE180 Incorrect Behavior Order: Validate Before Canonicalize
             *     The user input should be canonicalized before validation. */
            /* POTENTIAL FLAW: user input is used without validate */
            String query = ""//users/user[name/text()='"" + username + ""' and pass/text()='"" + password + ""']"" + ""/secret/text()"";
            String secret = (String) xPath.evaluate(query, inputXml, XPathConstants.STRING);
        }
    }
}
",CWE
